今年	[0.002298370246552445, 0.005681145697715706, 0.015374478365912585, 0.008378216636744464, 0.0030627871362940277, 0.00804093567251462, 0.001644350481559784, 0.004468790543462592, 0.0014107214832728737, 0.007698887938408896]
好莱坞	[0.0002089427496865859, 0.00023671440407148776, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00028830906732016723, 0.00020153164046755341, 0.004491017964071856]
票房	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00028830906732016723, 0.00020153164046755341, 0.00427715996578272]
电影	[0.0002089427496865859, 0.0010652148183216948, 0.00021963540522732265, 0.0005984440454817474, 0.0005104645227156713, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.03913601368691189]
海底	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.0030627871362940277, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00040306328093510683, 0.000855431993156544]
黑客帝国	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.0029940119760479044]
推出	[0.002089427496865859, 0.011717363001538644, 0.018010103228640457, 0.0002992220227408737, 0.00025523226135783564, 0.007309941520467836, 0.0004698144233027954, 0.00028830906732016723, 0.0018137847642079807, 0.003849443969204448]
实力	[0.0004178854993731718, 0.0008285004142502071, 0.00021963540522732265, 0.0005984440454817474, 0.00025523226135783564, 0.0003654970760233918, 0.0009396288466055908, 0.007063572149344097, 0.00020153164046755341, 0.0006415739948674081]
奥斯卡	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.003421727972626176]
影片	[0.0002089427496865859, 0.0003550716061072316, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.003421727972626176]
观众	[0.0006268282490597576, 0.00023671440407148776, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.0014415453366008362, 0.00020153164046755341, 0.029726261762189905]
他们	[0.0014625992478061011, 0.006509646111965913, 0.0059301559411377115, 0.005385996409335727, 0.014803471158754467, 0.004751461988304093, 0.019027484143763214, 0.01917255297679112, 0.00826279725916969, 0.01561163387510693]
不过	[0.0018804847471792729, 0.00366907326310806, 0.00834614539863826, 0.0014961101137043686, 0.0038284839203675345, 0.0043859649122807015, 0.0002349072116513977, 0.008937581086925184, 0.009068923821039904, 0.008768177929854577]
美国	[0.004387797743418303, 0.006154574505858682, 0.0010981770261366132, 0.0002992220227408737, 0.014803471158754467, 0.0025584795321637425, 0.0018792576932111817, 0.010234971889865937, 0.005239822652156389, 0.009409751924721984]
故事	[0.0002089427496865859, 0.0003550716061072316, 0.0004392708104546453, 0.0008976660682226212, 0.0005104645227156713, 0.0003654970760233918, 0.0004698144233027954, 0.00028830906732016723, 0.00020153164046755341, 0.01240376390076989]
演员	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.008126603934987169]
演出	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.01710863986313088]
这部	[0.0002089427496865859, 0.0004734288081429755, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0007309941520467836, 0.0002349072116513977, 0.00014415453366008361, 0.00040306328093510683, 0.016253207869974338]
导演	[0.0004178854993731718, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.016680923866552608]
场面	[0.0002089427496865859, 0.00011835720203574388, 0.00021963540522732265, 0.0002992220227408737, 0.0005104645227156713, 0.0003654970760233918, 0.0002349072116513977, 0.0005766181346403345, 0.00020153164046755341, 0.0053464499572284]
男性	[0.0002089427496865859, 0.00023671440407148776, 0.00021963540522732265, 0.0002992220227408737, 0.002041858090862685, 0.0010964912280701754, 0.0011745360582569885, 0.00014415453366008361, 0.007456670697299476, 0.0012831479897348161]
产品	[0.00814876723777685, 0.008758432950645047, 0.00021963540522732265, 0.0002992220227408737, 0.0005104645227156713, 0.0014619883040935672, 0.0011745360582569885, 0.00014415453366008361, 0.002015316404675534, 0.000427715996578272]
公司	[0.021521103217718347, 0.030891229731329153, 0.00417307269931913, 0.005984440454817474, 0.002041858090862685, 0.00804093567251462, 0.03453136011275546, 0.0007207726683004181, 0.0028214429665457475, 0.002352437981180496]
动作	[0.0002089427496865859, 0.0003550716061072316, 0.00021963540522732265, 0.0002992220227408737, 0.0005104645227156713, 0.0003654970760233918, 0.0004698144233027954, 0.0007207726683004181, 0.0018137847642079807, 0.004918733960650129]
全球	[0.0014625992478061011, 0.006983074920108889, 0.0017570832418185812, 0.0008976660682226212, 0.00408371618172537, 0.001827485380116959, 0.0004698144233027954, 0.00014415453366008361, 0.0032245062474808546, 0.001924721984602224]
亿美元	[0.001671541997492687, 0.004497573677358267, 0.00021963540522732265, 0.0002992220227408737, 0.0005104645227156713, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.0006415739948674081]
病毒	[0.0002089427496865859, 0.01988400994200497, 0.00021963540522732265, 0.0002992220227408737, 0.002807554874936192, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.006449012494961709, 0.0006415739948674081]
电脑病毒	[0.0002089427496865859, 0.004024144869215292, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.000213857998289136]
要求	[0.006686167989970748, 0.002840572848857853, 0.0010981770261366132, 0.008378216636744464, 0.005104645227156712, 0.0029239766081871343, 0.00516795865633075, 0.0020181634712411706, 0.001007658202337767, 0.002780153977758768]
员工	[0.0029251984956122023, 0.0014202864244289265, 0.0004392708104546453, 0.0014961101137043686, 0.00025523226135783564, 0.0003654970760233918, 0.049565421658444915, 0.00014415453366008361, 0.00020153164046755341, 0.000213857998289136]
报道	[0.0018804847471792729, 0.003787430465143804, 0.0004392708104546453, 0.0002992220227408737, 0.007656967840735069, 0.0003654970760233918, 0.0007047216349541931, 0.0017298544039210033, 0.002015316404675534, 0.0014970059880239522]
我爱你	[0.0002089427496865859, 0.0022487868386791335, 0.00021963540522732265, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.000213857998289136]
电邮	[0.0002089427496865859, 0.0033140016570008283, 0.0004392708104546453, 0.0002992220227408737, 0.00025523226135783564, 0.0003654970760233918, 0.0002349072116513977, 0.00014415453366008361, 0.00020153164046755341, 0.000213857998289136]
系统	[0.0037609694943585457, 0.008403361344537815, 0.0004392708104546453, 0.0002992220227408737, 0.0035732516590096988, 0.001827485380116959, 0.002349072116513977, 0.00014415453366008361, 0.004232164449818622, 0.0006415739948674081]
工作	[0.00459674049310489, 0.002958930050893597, 0.001317812431363936, 0.009275882704967086, 0.007912200102092905, 0.001827485380116959, 0.036645525017618044, 0.002162318004901254, 0.005642885933091495, 0.0029940119760479044]
